,name,Pros,Cons
0,Northrop Grumman,"['""Good benefits and 401k."" (in 942 reviews)', '""I loved the work I was doing and the people on my project were great."" (in 613 reviews)', '""good pay and I learned a few new things which was fun."" (in 549 reviews)', '""You can have a good work/life balance while you are there since you usually get paid more for overtime which is typically at your discretion."" (in 467 reviews)', '""You can work on very interesting projects and make a good salary working for Northrop Grumman."" (in 227 reviews)']","['""They expect you to work overtime and they usually need it to make up for poor management."" (in 375 reviews)', '""HR and some program/product team managers have the attitude with new/newer employees of it\'s the Northrop way or the highway."" (in 242 reviews)', '""Upper management verbally promotes career advancement opportunities, but I have applied to numerous internal opportunities in an effort to advance, to no avail."" (in 133 reviews)', '""Promotions within levels are low raises%"" (in 97 reviews)', '""Poor leadership with lack of ownership"" (in 86 reviews)']"
1,3M,"['""The benefits are changing and while not as good as they once were they are still not bad."" (in 463 reviews)', '""The people are great and supportive"" (in 310 reviews)', '""The pay is good and the work great."" (in 269 reviews)', '""Great opportunity and the culture of the company is great"" (in 179 reviews)', '""Good work life balance.Reputed brand and respected company"" (in 140 reviews)']","['""Poor management waiting for redundancies"" (in 171 reviews)', '""So i paid for that when we had the bad managers."" (in 57 reviews)', '""Long hours and have high expectations for outcomes sometimes ones hat are unrealistic"" (in 43 reviews)', '""Saw upper management changed 3 times for the 3 years I have been there."" (in 39 reviews)', '""The senior leadership is poor and lost human connection"" (in 31 reviews)']"
2,Travelers,"['""Great benefits; company hires with the intent to promote from within; company is all about individual personal development; company seems to pay better than competitors."" (in 577 reviews)', '""Got to meet some really great people and many employees seem to genuinely like working there."" (in 302 reviews)', '""Generally the expectations are reasonable and good pay"" (in 262 reviews)', '""Awesome culture and great company"" (in 189 reviews)', '""Reliable and good work/life balance."" (in 184 reviews)']","['""Micro management through multiple silly reports that consume so much of your daily time"" (in 199 reviews)', '""Unit managers have less claim knowledge than you and cant be relied on to give correct information"" (in 109 reviews)', '""Upper management is a tight little \'clique\' who care more about themselves than their employees."" (in 64 reviews)', '""No bonuses for those who are young and single."" (in 60 reviews)', '""Heavy Work Load"" (in 40 reviews)']"
3,Arrow Electronics,"['""People in the branch were and many I communicated with via email were great to work with."" (in 130 reviews)', '""Good Benefits and 401K"" (in 107 reviews)', '""All the hours you want and good pay"" (in 58 reviews)', '""Work Life Balance is good"" (in 41 reviews)', '""Field Sales teams are great and easy to work with"" (in 36 reviews)']","['""to protect the employees from bad management."" (in 112 reviews)', '""There have been many layoffs during the 10 years I have been with the company."" (in 61 reviews)', '""Upper management is arrogant, undisciplined, and brutal, and it flows freely downhill."" (in 42 reviews)', '""You can get a bad manager too."" (in 41 reviews)', '""Low salaries and no upskill"" (in 39 reviews)']"
4,Honeywell International,"['""I work with great people who are very willing to help and share their experience."" (in 928 reviews)', '""Work life balance is good and one gets to learn the details of multiple industries."" (in 721 reviews)', '""The pay is good and the products are interesting."" (in 610 reviews)', '""Overall benefit is good and enough"" (in 579 reviews)', '""Trying hard to come up with a pro; salary is good and 401k is ok."" (in 479 reviews)']","['""Poor management and can be very political."" (in 613 reviews)', '""3. Most of the time senior managers have no clue on the project situations & complexities and internal inter group project executions/interactions are pathetic."" (in 278 reviews)', '""Poor vision and leadership in Honeywell Connected Plant Team"" (in 191 reviews)', '""No work from Home (as of 10/2016)"" (in 167 reviews)', '""Honeywell upper management does not understand UOP"" (in 166 reviews)']"
5,Dollar General,"['""The people I work with are great and we have some really great customers as well."" (in 417 reviews)', '""Insurance benefits were good and reasonable"" (in 292 reviews)', '""Great coworkers and the hours used to not be a problem until we were told to cut back."" (in 285 reviews)', '""Great employees and i love the atmosphere and all of my customers that i come into contact with every day"" (in 129 reviews)', '""Flexible schedule (sometimes) and fast paced is nice."" (in 108 reviews)']","['""A lot of work for low pay and SOME people were really hard to work with."" (in 1037 reviews)', '""Managers have to work over 60 hours a week just to stay afloat because of budgets"" (in 483 reviews)', '""Poor management( was ridiculed for not collecting enough donations and was done so in front of others)"" (in 470 reviews)', '""The hours are long and sometimes you don’t always have the same amount of days off"" (in 415 reviews)', '""There is no work/life balance as the constant turnover causes most time to be spent focused on Dollar General."" (in 293 reviews)']"
6,Qualcomm,"['""All the benefits are good and recently the company is trying to mimic Google like culture."" (in 795 reviews)', '""Working for Qualcomm has been amazing and the people are great."" (in 473 reviews)', '""top schools a lot of talents and very helpful to others good salary"" (in 322 reviews)', '""Pay is good and above industry average"" (in 299 reviews)', '""People have knowledge and work culture is good"" (in 268 reviews)']","['""No work life balance and lots of pressure during tape"" (in 687 reviews)', '""Department management is poor which causes chaos and unhappy employees."" (in 297 reviews)', '""Too many managers with varied focus pulling projects in different direction is straining engineers and tech leads."" (in 134 reviews)', '""Long hours to get the job done; tight schedules to meet to stay competitive in the market place;"" (in 114 reviews)', '""Which in turn caused them to have the major layoffs under the realm of \'re"" (in 113 reviews)']"
7,Capital One Financial,"['""Great benefits and they really care about the happiness of their employees as much as their customers."" (in 1780 reviews)', '""The work life balance if great and I think it\'s one of the reasons much of the tech staff has been patient but that\'s waining"" (in 1150 reviews)', '""• Great people (the ones who aren\'t looking to simply climb the ladder)"" (in 932 reviews)', '""The culture is great and processes are set up to allow entrepreneurial thought at any level."" (in 797 reviews)', '""Good pay (not great)"" (in 617 reviews)']","['""Was illegally denied overtime pay due to a combination of company policy and poor management."" (in 473 reviews)', '""Some of my friends were not as lucky as I and were under some bad managers."" (in 399 reviews)', '""Old old infrastructure and talent and performance management is bad"" (in 230 reviews)', '""A LOT of ASMs have resigned recently and senior leadership\'s attitude is that everyone is easily replaceable."" (in 136 reviews)', '""Frequent Layoff and Reorganization."" (in 105 reviews)']"
8,TD Synnex,"['""great people to work with"" (in 15 reviews)', '""remote work from home"" (in 13 reviews)', '""benefits are great"" (in 10 reviews)', '""Great work life balance (dependent on your manager or product line)"" (in 8 reviews)', '""Great team and management."" (in 8 reviews)']","['""As I said salary is low and they prefer loose a talent to give a better salary or remote option."" (in 16 reviews)', '""Low pay."" (in 11 reviews)', '""Low pay, stressful, high demands, bad training,"" (in 6 reviews)', '""Limited opportunities to grow as most are located in the US"" (in 3 reviews)', '""Poor Upper management."" (in 3 reviews)']"
9,Philip Morris Internationé,,
